,链接,名字,放送类型,评分,中文名,导演,总导演,副导演,放送时间,系列构成,制作公司,脚本,分镜,演出,作画监督,原画,制片人,总集数,评分人数,看过,搁置,弃坑
1156,/subject/4686,ふたつのスピカ,TV,7.4,我要上太空,望月智充,,,2003-11-01,望月智充,グループ・タック,"望月智充,中瀬理香","望月智充,佐藤英一,康村諒,山崎たかし,荻原露光,洪憲杓,山本裕介,高柳哲司","加藤顕,荻原露光,山本裕介,鈴木芳成,洪憲杓,佐々木和宏,佐々木勝利,大沼心","川口弘明,粉川剛,權允姫,窪敏,松田芳明","堀剛史,柳沼和良,仲澤崇仁,亀谷響子",,20,65,80,24,4
1157,/subject/120191,BORUTO -NARUTO THE MOVIE-,剧场版,7.3,火影忍者 剧场版 博人传,山下宏幸,,,2015-08-07,,ぴえろ,岸本斉史,"遠藤正明,山下宏幸,松本憲生,玉木慎吾,小林直樹","山下宏幸,松本憲生,小林直樹","桝田浩史,松本憲生,朝井聖子,小林直樹,西尾鉄也","清水厚貴,佐藤誠之,遠藤裕一,高瀬智章,関弘光,川野達朗,清水恵子,今井有文,朝井聖子,今木宏明,堀内博之,木曽勇太,竹中真吾,土屋祐太,HAN SEUNGAH,松崎正,川崎博嗣,橋本晋治,鈴木陽子,伊藤秀次,桝田浩史,黄瀬和哉,西尾鉄也,田中比呂人,甲田正行,遠藤正明,小林直樹,松本憲生,藤沢研一,新井浩一,山下宏幸,都留稔幸",,1,950,1279,9,14
1158,/subject/2567,生徒会の一存,TV,7.3,学生会的一己之见,佐藤卓哉,,,2009-10-02,花田十輝,スタジオディーン,花田十輝,"金﨑貴臣,高本宣弘,小島正士,渡邊哲哉,福田道生,うえだしげる,加藤敏幸,柳沢テツヤ,佐藤卓哉","渡邊哲哉,筑紫大介,吉田俊司,加藤敏幸,内山まな,高林久弥,うえだしげる,神保昌登","石川洋一,服部憲知,ウクレレ善似郎,桜井正明,森本浩文,星野尾高広,山本佐和子,工藤裕加,佐野恵一,胡陽樹","なかじまちゅうじ,飯塚晴子,岡真里子,亀谷響子,斉藤哲人",,12,3292,4392,254,163
1159,/subject/7931,OVERMANキングゲイナー,TV,7.3,返乡战士,森邦宏,富野由悠季,,2019-02-09,大河内一楼,サンライズ,"大河内一楼,浅川美也,高山治郎,高橋哲子,野村祐一","冨永恒雄,森邦宏,横山彰利,東海林真一,富野由悠季,西澤晋,北村真咲,山本裕介,宮地昌幸,笹木信作,小原正和","羽生尚靖,古賀理恵,宮地昌幸,山本裕介,久保山英一,笹木信作,渡邊哲哉,横山彰利,渡邊淳一,五十嵐達也,森邦宏","田中雄一,樋口靖子,湖川友謙,奥村正志,福島秀樹,西山忍,井上哲,鷲田敏弥,小原充,橋本誠一,千羽由利子,しんぼたくろう,吉田健一,横山彰利,中田栄治,重田敦司,高瀬健一,池田有,米山浩平,大森英敏","中村豊,大田和寛,小田剛生,伊藤嘉之,山下明彦,村木靖,寺尾洋之,大塚健,中田栄治,鶴巻和哉,金子秀一,吉田健一,城前龍治,千羽由利子,高瀬健一,大下知之,松本憲生,久行宏和,桑名郁朗,すしお,杉浦幸次,高橋タクロヲ",,26,221,270,52,17
1160,/subject/84728,グレパラ 〜グレンラガン パラレルワークス〜,OVA,7.4,天元突破 Parallel Works,,,,2019-02-09,,,,,山賀博之,,"益山亮司,渡辺敬介,吉成曜,小島大和,SUEZEN,雨宮哲,板垣伸",,8,88,159,13,6
1161,/subject/1025,ローゼンメイデン,TV,7.3,蔷薇少女,松尾衡,,,2004-10-07,花田十輝,ノーマッド,"花田十輝,岡田麿里,玉井☆豪","高橋丈夫,宍戸淳,松尾衡,島津裕行,大橋誉志光,紫紺,桜美かつし","小林智樹,池田重隆,島崎奈々子,吉本毅,松田清,川村賢一,太田雅彦,松尾衡,水本葉月,高橋丈夫",阿部達也,"本田雄,かんざきひろ,島村秀一",,12,2432,3378,177,83
1162,/subject/1026,ローゼンメイデン・トロイメント,TV,7.3,蔷薇少女 梦之终结,松尾衡,,,2005-10-20,花田十輝,ノーマッド,"花田十輝,岡田麿里,玉井☆豪","島津裕行,島崎奈々子,高田昌宏,太田雅彦,松尾衡,青柳宏宜","青柳宏宜,松尾衡,中尾幸彦,島崎奈々子,鈴木利正,高田昌宏,木村寛,土屋浩幸,小林智樹","山内尚樹,玉井公子,土河紀夏","鈴木典光,酒井啓史",,12,1723,2502,65,23
1163,/subject/66449,SHORT PEACE,剧场版,7.3,短暂和平,"カトキハジメ,大友克洋,安藤裕章,森田修平",,,2013-07-20,,サンライズ,"石井克人,森田修平,山本健介,カトキハジメ,大友克洋","カトキハジメ,片山一良","安藤裕章,森田修平","堀内博之,芳垣祐介,外丸達也","遠藤正明,新井浩一,牧孝雄,金子秀一,川名久美子,松田勝巳,森本晃司,糸島雅彦,吉成曜,芳垣祐介,紺野直幸,堀内博之,伊藤秀次,橋本敬史,桝田浩史,村山公輔,杉浦幸次",,4,364,471,19,6
1164,/subject/105191,鬼灯の冷徹 OAD,OVA,7.3,鬼灯的冷彻 OAD,"鏑木ひろ,米田和弘",鏑木ひろ,長沼範裕,2019-02-09,,"WIT STUDIO,スタジオディーン",後藤みどり,"斉藤哲人,鏑木ひろ,長沼範裕","江副仁美,長沼範裕","北山修一,本村晃一,小沢久美子",丸山修二,,4,333,495,23,11
1165,/subject/75898,DEAD FANTASY,WEB,7.3,死或生VS最终幻想,Monty Oum,,,2007-10-15,,,,,,,,,6,132,195,13,4
